id,spec,source,label,label_name,angle_deviation,avg_rate,final_torque,hold_fluctuation,rising_slope,torque_mean,torque_peak_angle,total_angle
B0046,M16,benchmark,0,合格,0.4896451980326635,-0.32065266179721635,-0.1428378398047604,-0.4929502124240929,-0.3902262673345005,-0.23735073733326947,0.1286388992302689,-0.38228500722335274
B1181,M12,benchmark,4,虚拧,0.6388879788267106,-1.9276512561156216,-1.1405072288254114,-0.6605252078389425,-1.1696516369753376,-1.2544199184536806,-0.8834843331519031,0.5289775148221028
B0709,M12,benchmark,1,欠拧,-0.49110334075305656,-0.5358024480260647,-0.855106493073893,-0.6302812437155706,-0.7237866008189279,-0.9683188944974248,-1.1331531431577866,-1.7411750765544947
E1349,M12,extended,3,滑牙,-0.016249745722985983,-0.23781125486035268,-1.0336456501897864,-0.46879245363975475,-0.6823540306818162,-0.9406072827580483,-1.0586318486035715,-1.4009866942045723
B0882,M16,benchmark,2,过拧,0.9467146870220381,0.019236386372155346,0.026828925212403,-0.25300514372313004,-0.18220436206674573,-0.08325805464584134,0.24727967673648552,-0.14315114793499073
E0277,M12,extended,0,合格,0.6329958709667626,-0.6830956836069731,-0.7110638075743407,-0.6579850773976673,-0.852378138556037,-0.787897326758199,-0.724805214759743,-0.9463635345304033
E0194,M16,extended,0,合格,0.4237182594777582,0.0575184816767483,-0.16445133617811158,-0.47160971404731944,-0.35887317563580795,-0.21648071686285633,-0.13997935455369484,-0.38286542921191685
E1526,M16,extended,4,虚拧,-0.6805849069321133,-1.9280335313267227,-1.141418476968393,-0.6494081445392446,-1.2090555415736515,-1.254120492388591,-0.8221413519651765,0.6289933880093914
B0332,M24,benchmark,0,合格,0.7911845960115834,0.9757373109574469,1.6732960788844586,0.10827302453374564,0.741902043750768,1.5912601469452714,1.530717952814113,1.4179701616221287
B0958,M16,benchmark,3,滑牙,-0.084080841086289,0.05661094903061699,-0.8944320341904652,1.5076758545601736,-0.6416853229826213,-0.47418114171034387,-0.3643522751897882,-0.7379614921102192
